REPO_EXAMPLE_ID  ,NAME  ,OWNER  ,URL  ,DATABASE_CONNECTION  ,DOCKERFILE  ,LOGS_SERVICE  ,MESSAGING  ,MICROSERVICE_MENTION  ,RESTFUL  ,SOAP  ,ALL_CONTENTS_NUMBER  ,FILES  ,SIZE  ,DATABASE_SERVICES  ,PROGRAMMING_LANGUAGES  ,LOG_SERVICES  ,MESSAGING_SERVICES  ,DOCKERFILES  ,MICROSERVICE  ,MICROSERVICE_SET  
99,blog-microservices,callistaenterprise,https://github.com/callistaenterprise/blog-microservices,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,384,165,1204,1,1,3,0,28,TRUE,FALSE
100,spring-petclinic-microservices,spring-petclinic,https://github.com/spring-petclinic/spring-petclinic-microservices,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,352,176,7355,1,2,1,0,19,TRUE,FALSE
101,vertx-blueprint-microservice,sczyh30,https://github.com/sczyh30/vertx-blueprint-microservice,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,474,233,1877,3,2,2,0,16,TRUE,TRUE
102,Roothub,miansen,https://github.com/miansen/Roothub,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1417,1060,64651,1,2,0,1,0,FALSE,FALSE
103,invoice,huanglu20124,https://github.com/huanglu20124/invoice,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,229,192,78906,1,2,0,0,0,FALSE,FALSE
104,Dendrite,Lab41,https://github.com/Lab41/Dendrite,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,513,370,6344,1,5,0,1,1,FALSE,FALSE
105,parsevip,pibigstar,https://github.com/pibigstar/parsevip,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,513,423,17409,1,1,0,0,1,FALSE,FALSE
106,OCR4all,OCR4all,https://github.com/OCR4all/OCR4all,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,186,147,4629,0,2,0,1,5,FALSE,FALSE
107,EasyCMS,moocss,https://github.com/moocss/EasyCMS,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,331,276,10180,1,2,0,0,0,FALSE,FALSE
108,javaEEScaffold,Vino007,https://github.com/Vino007/javaEEScaffold,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1357,1106,7221,1,3,0,0,0,FALSE,FALSE
109,GdeiAssistant,GdeiAssistant,https://github.com/GdeiAssistant/GdeiAssistant,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1428,1007,21919,1,2,0,0,0,FALSE,FALSE
110,seppb,purang-fintech,https://github.com/purang-fintech/seppb,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,782,500,658,1,1,0,1,0,FALSE,FALSE
111,kafkawize,muralibasani,https://github.com/muralibasani/kafkawize,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,966,870,31767,1,2,0,1,6,FALSE,FALSE
112,Educational-management,qianqianjun,https://github.com/qianqianjun/Educational-management,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,348,310,5305,1,1,0,0,0,FALSE,FALSE
113,movie-boot,wsk1103,https://github.com/wsk1103/movie-boot,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,536,422,47105,1,2,0,0,0,FALSE,FALSE
114,bootplus,JoeyBling,https://github.com/JoeyBling/bootplus,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1184,946,41873,1,2,0,1,1,FALSE,FALSE
116,travel.b2b,justinscript,https://github.com/justinscript/travel.b2b,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,1793,1486,30388,1,4,1,1,0,FALSE,FALSE
117,JavaOJSystem,superman544,https://github.com/superman544/JavaOJSystem,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,842,658,6748,1,2,0,0,0,FALSE,FALSE
118,danyuan-application,514840279,https://github.com/514840279/danyuan-application,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2111,1673,44783,1,1,0,0,3,FALSE,FALSE
119,baicai,iminto,https://github.com/iminto/baicai,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,577,465,23464,1,2,0,0,0,FALSE,FALSE
120,openspecimen,krishagni,https://github.com/krishagni/openspecimen,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,3491,3156,1365178,1,2,0,1,0,FALSE,FALSE
121,shopping.plat,justinscript,https://github.com/justinscript/shopping.plat,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,865,719,7726,1,2,0,0,0,FALSE,FALSE
122,nginxWebUI,cym1102,https://github.com/cym1102/nginxWebUI,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,800,694,92407,1,2,0,0,8,FALSE,FALSE
123,biliob_backend,Jannchie,https://github.com/Jannchie/biliob_backend,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,262,228,1575,1,1,0,0,0,FALSE,FALSE
124,eeg-database,INCF,https://github.com/INCF/eeg-database,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2816,2471,168168,1,2,0,1,0,FALSE,FALSE
125,SDIMS,Lotharing,https://github.com/Lotharing/SDIMS,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,291,231,833,1,2,0,0,0,FALSE,FALSE
126,kanban-app,kanban,https://github.com/kanban/kanban-app,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,369,302,1380,1,2,0,0,0,FALSE,FALSE
127,BlogManagePlatform,Frodez,https://github.com/Frodez/BlogManagePlatform,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,532,370,20188,1,1,0,1,0,FALSE,FALSE
128,ExamSystem,finallysmile3,https://github.com/finallysmile3/ExamSystem,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1343,1174,46351,1,1,0,1,0,FALSE,FALSE
129,login-server,cloudfoundry-attic,https://github.com/cloudfoundry-attic/login-server,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,292,230,7777,1,3,0,1,0,FALSE,FALSE
130,atlas,atlasapi,https://github.com/atlasapi/atlas,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,2631,2225,379774,1,3,0,1,1,FALSE,FALSE
131,metasfresh-webui-api-legacy,metasfresh,https://github.com/metasfresh/metasfresh-webui-api-legacy,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1383,1112,12153,1,2,1,1,5,FALSE,FALSE
132,smh2,tangdu,https://github.com/tangdu/smh2,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,6848,6177,92244,1,2,0,1,0,FALSE,FALSE
133,jwxt,qiao-zhi,https://github.com/qiao-zhi/jwxt,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1452,1254,25888,1,2,0,1,0,FALSE,FALSE
134,kettle-master,jiangzongyao,https://github.com/jiangzongyao/kettle-master,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,474,362,3313,1,2,0,1,0,FALSE,FALSE
135,mateo,jdmr,https://github.com/jdmr/mateo,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1579,1309,13726,1,2,0,0,0,FALSE,FALSE
136,movision,shuxianfeng,https://github.com/shuxianfeng/movision,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1801,1073,33626,1,2,0,1,0,FALSE,FALSE
137,university-site-cms,leluque,https://github.com/leluque/university-site-cms,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2080,1666,35037,1,2,0,1,0,FALSE,FALSE
138,uzy-ssm-mall,ghostxbh,https://github.com/ghostxbh/uzy-ssm-mall,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,354,301,16377,1,2,0,0,1,FALSE,FALSE
139,OGP2,OpenGeoportal,https://github.com/OpenGeoportal/OGP2,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1355,1226,134850,1,4,0,1,0,FALSE,FALSE
140,hammer,litblank,https://github.com/litblank/hammer,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,682,495,2014,1,1,0,1,1,FALSE,FALSE
141,agile-service-old,choerodon,https://github.com/choerodon/agile-service-old,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2623,2211,10605,0,3,0,0,3,FALSE,FALSE
142,cmop,kai8406,https://github.com/kai8406/cmop,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,558,435,17904,1,2,0,0,0,FALSE,FALSE
143,glider,gliderwiki,https://github.com/gliderwiki/glider,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,997,797,64298,1,2,0,1,0,FALSE,FALSE
144,form_flow,hslooooooool,https://github.com/hslooooooool/form_flow,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1764,1449,6827,1,2,0,0,0,FALSE,FALSE
